Source:,D:\KiCAD\BPS-FanPCB\BPS-Fan.kicad_sch,,,,,
Date:,12/15/2022 12:03,,,,,
Tool:,Eeschema (6.0.7),,,,,
Generator:,D:\KiCAD\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,
Component Count:,37,,,,,
Cart:,https://www.mouser.com/ProjectManager/ProjectDetail.aspx?AccessID=d15e40a820,,,,,
Individual Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,Q4,BUK9M23-80E,Transistor_FET:BUK9M23-80EX,Package_TO_SOT_SMD:LFPAK33,https://assets.nexperia.com/documents/data-sheet/BUK9M23-80E.pdf
,,R1,10k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/71-CRCW080510K0FKEAC
,,R2,100k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZRT9GjFuHWDV3jEqj5sSqw%3D%3D
,,R3,100k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZRT9GjFuHWDV3jEqj5sSqw%3D%3D
,,R4,100k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZRT9GjFuHWDV3jEqj5sSqw%3D%3D
,,R5,100k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZRT9GjFuHWDV3jEqj5sSqw%3D%3D
,,R6,100k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZRT9GjFuHWDV3jEqj5sSqw%3D%3D
,,R7,100k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZRT9GjFuHWDV3jEqj5sSqw%3D%3D
,,R8,100k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZRT9GjFuHWDV3jEqj5sSqw%3D%3D
,,R9,100k,Device:R,Resistor_SMD:R_0805_2012Metric,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0805100KFKEAC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gZRT9GjFuHWDV3jEqj5sSqw%3D%3D
,,,,,,
,,,,,,
,,,,,,
Collated Components:,,,,,,
,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,4,"D1, D2, D3, D4",V2F22HM,Diode:C3D25170H,UTSVT_Passive:V2F22HM,https://www.mouser.com/datasheet/2/427/v2f22-1767661.pdf
2,4,"H1, H2, H3, H4",MountingHole,Mechanical:MountingHole,MountingHole:MountingHole_3mm,~
3,1,J1,LDRBRDConn,Connector_Generic:Conn_02x03_Top_Bottom,Connector_Molex:Molex_Micro-Fit_3.0_43045-0612_2x03_P3.00mm_Vertical,https://www.mouser.com/datasheet/2/276/3/0430450626_PCB_HEADERS-2832587.pdf
4,1,J2,FAN1,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
5,1,J3,FAN2,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
6,1,J4,FAN3,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
7,1,J5,FAN4,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
8,1,J6,FAN5,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
9,1,J7,FAN6,Connector_Generic:Conn_01x02,UTSVT_Connectors:Molex_MicroFit3.0_1x2xP3.00mm_PolarizingPeg_Vertical,https://www.mouser.com/datasheet/2/276/3/0436500226_PCB_HEADERS-2845455.pdf
